proteinName,ppiId
oligomers,oligomers-p2ry12-40973402
mapt,mapt-protein-40973401
gas,gas-ctnnb1-40915373
gnb5,gnb5-bace1-40587559
clec7a,clec7a-microglial-cells-40758965
ara,ara-mek-40742404
app,app-extracellular-40721030
dpysl2,dpysl2-adenine-nucleotide-translocase-40358171
gprin1,gprin1-htr6-40347153
acetylcholine,acetylcholine-receptors-40340056
cd2ap,cd2ap-csf1r-39695808
elavl4,elavl4-msi2-39680531
p2ry12,oligomers-p2ry12-40973402
protein,mapt-protein-40973401
ctnnb1,gas-ctnnb1-40915373
bace1,gnb5-bace1-40587559
microglial-cells,clec7a-microglial-cells-40758965
mek,ara-mek-40742404
extracellular,app-extracellular-40721030
adenine-nucleotide-translocase,dpysl2-adenine-nucleotide-translocase-40358171
htr6,gprin1-htr6-40347153
receptors,acetylcholine-receptors-40340056
csf1r,cd2ap-csf1r-39695808
msi2,elavl4-msi2-39680531
